Name,Email,Type
Alley,booking@hotel-alley.cz,Restaurant
Archa,restaurace@archa-zoo.cz,Restaurant
Arigone,hotel@arigone.cz,Restaurant
Atmosphere restaurant,info@atmosphere-restaurant.cz,Restaurant
Benada Restaurant,olomouc@benadarestaurant.cz,Restaurant
Best Restaurace,recepce@best-sportcentrum.cz,Restaurant
Blues Rock Café,info@bluesrockcafe.cz,Restaurant
Cafe New One,info@cafenewone.cz,Restaurant
Café Restaurant Caesar,restaurant.caesar@email.cz,Restaurant
Claudi Restaurant,claudirestaurant@seznam.cz,Restaurant
Cobra Restaurant,info@cobrarestaurant.cz,Restaurant
Dobromysl,dobromysl@araboth.cz,Restaurant
Drápal,info@restauracedrapal.cz,Restaurant
Element Restaurant,info@element-restaurant.cz,Restaurant
Entrée Restaurant,info@entree-restaurant.cz,Restaurant
Faraon Restaurant & Café,faraon.bar@seznam.cz,Restaurant
Flora,hotelflora@hotelflora.cz,Restaurant
Fojtství,info@restauracefojtstvi.cz,Restaurant
Ford Janiš,frapercatering@seznam.cz,Restaurant
Garnet,garnetpenzion@seznam.cz,Restaurant
Gól,gol@olrestaurace.eu,Restaurant
Govinda,samvartaka@email.cz,Restaurant
Green bar,team@greenbar.cz,Restaurant
Hanácká hospoda,hanackahospoda@seznam.cz,Restaurant
Hanácký dvůr,recepce@hanacky-dvur.cz,Restaurant
Hesperia Hotel,hesperiahotel@gmail.com,Restaurant
Hospůdka U Flóry,safranovam@seznam.cz,Restaurant
Chalupa na schůdkách,chalupanaschudkach@gmail.com,Restaurant
Jazz Tibet Club,bar@jazztibet.cz,Restaurant
K2 restaurace,joklova.veronika@seznam.cz,Restaurant
Kikiriki,dvorak.kikiriki@seznam.cz,Restaurant
Kolárka,havlen.marek@gmail.com,Restaurant
La Boca Grande,Labocagrande@email.cz,Restaurant
Lafayette,"hotel@lafayette.cz,lafayette@lafayette.cz,provoz",Restaurant
Libra restaurant,libra-restaurant@seznam.cz,Restaurant
Lobster,lobster@lobster-restaurant.cz,Restaurant
M 3,info@m3olomouc.cz,Restaurant
Milotel,recepce@milotel.cz,Restaurant
Moravská restaurace,moravska@moravskarestaurace.cz,Restaurant
Mordor – Moravská domácí restaurace,settings@seznam.cz,Restaurant
Captain Morgan´s,info@morgansrestaurant.cz,Restaurant
Moritz - hostinský pivovar,info@hostinec-moritz.cz,Restaurant
Nirvana,nirvana-ol@seznam.cz,Restaurant
OLMECA - mexická restaurace,hacienda-olmeca@seznam.cz,Restaurant
Pivnice U Tygra,info@utygra.eu,Restaurant
Plan B,planbolomouc@seznam.cz,Restaurant
Potrefená husa,info@husa-olomouc.cz,Restaurant
Prachárna,info@hotel-pracharna.cz,Restaurant
Restaurace Faustův dům,faustuvdummail@gmail.com,Restaurant
Restaurace Goliáš,al.navratil@restaurace-golias.cz,Restaurant
Restaurace Na Dlouhé,nadlouhe@email.cz,Restaurant
Restaurace U Macků,info@restauraceumacku.cz,Restaurant
Restaurant Jízdárna,restaurant-jizdarna@centrum.cz,Restaurant
Restaurant Steakhaus,rauty@rauty.cz,Restaurant
SAL DE MAR restaurant,nholomouccongress@nh-hotels.com,Restaurant
Schnitzel house,bestzdenekjan@seznam.cz,Restaurant
Steak restaurant,info@steak-restaurant.cz,Restaurant
Svatováclavský Pivovar,info@svatovaclavsky-pivovar.cz,Restaurant
Študáč,rysanekstudac@seznam.cz,Restaurant
Švejk restaurant U Mačáků ,restaurace.svejk@seznam.cz,Restaurant
Taboo restaurant & Cocktail bar,objednavky@taboo-restaurant.cz,Restaurant
Torture – Mučírna,torture.restaurant@gmail.com,Restaurant
Trinity,reception@hotel-trinity.cz,Restaurant
U Červeného Volka,cervenyvolek@seznam.cz,Restaurant
U Huberta,schwarz.eda@quick.cz,Restaurant
U Kalči,restauraceukalci@seznam.cz,Restaurant
